[2025-04-05 15:56:55,841][__main__][INFO] - System information:
[2025-04-05 15:56:55,841][__main__][INFO] -   Platform: Linux-6.11.0-21-generic-x86_64-with-glibc2.39
[2025-04-05 15:56:55,841][__main__][INFO] -   Python: 3.12.2
[2025-04-05 15:56:55,841][__main__][INFO] -   PyTorch: 2.5.1
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Available: True
[2025-04-05 15:56:55,841][__main__][INFO] -   CUDA Version: 12.4
[2025-04-05 17:17:43,181][__main__][INFO] - EnvName: LLdV3, Steps: 181k, Episode Reward: 218
[2025-04-05 17:18:09,368][__main__][INFO] - EnvName: LLdV3, Steps: 182k, Episode Reward: 157
[2025-04-05 17:18:34,950][__main__][INFO] - EnvName: LLdV3, Steps: 183k, Episode Reward: 132
[2025-04-05 17:19:00,298][__main__][INFO] - EnvName: LLdV3, Steps: 184k, Episode Reward: 215
[2025-04-05 17:19:27,571][__main__][INFO] - EnvName: LLdV3, Steps: 185k, Episode Reward: 144
[2025-04-05 17:19:53,980][__main__][INFO] - EnvName: LLdV3, Steps: 186k, Episode Reward: 190
[2025-04-05 17:20:18,341][__main__][INFO] - EnvName: LLdV3, Steps: 187k, Episode Reward: 149
[2025-04-05 17:20:45,297][__main__][INFO] - EnvName: LLdV3, Steps: 188k, Episode Reward: 174
[2025-04-05 17:21:12,083][__main__][INFO] - EnvName: LLdV3, Steps: 189k, Episode Reward: 163
[2025-04-05 17:21:39,163][__main__][INFO] - EnvName: LLdV3, Steps: 190k, Episode Reward: 188
[2025-04-05 17:22:04,868][__main__][INFO] - EnvName: LLdV3, Steps: 191k, Episode Reward: 194
[2025-04-05 17:22:29,508][__main__][INFO] - EnvName: LLdV3, Steps: 192k, Episode Reward: 184
[2025-04-05 17:22:56,346][__main__][INFO] - EnvName: LLdV3, Steps: 193k, Episode Reward: 201
[2025-04-05 17:23:23,372][__main__][INFO] - EnvName: LLdV3, Steps: 194k, Episode Reward: 158
[2025-04-05 17:23:49,944][__main__][INFO] - EnvName: LLdV3, Steps: 195k, Episode Reward: 156
[2025-04-05 17:24:13,449][__main__][INFO] - EnvName: LLdV3, Steps: 196k, Episode Reward: 210
[2025-04-05 17:24:39,264][__main__][INFO] - EnvName: LLdV3, Steps: 197k, Episode Reward: 218
[2025-04-05 17:25:03,444][__main__][INFO] - EnvName: LLdV3, Steps: 198k, Episode Reward: 176
[2025-04-05 17:25:30,776][__main__][INFO] - EnvName: LLdV3, Steps: 199k, Episode Reward: 139
[2025-04-05 17:25:56,202][__main__][INFO] - EnvName: LLdV3, Steps: 200k, Episode Reward: 208
[2025-04-05 17:26:22,590][__main__][INFO] - EnvName: LLdV3, Steps: 201k, Episode Reward: 177
[2025-04-05 17:26:48,742][__main__][INFO] - EnvName: LLdV3, Steps: 202k, Episode Reward: 192
[2025-04-05 17:27:13,829][__main__][INFO] - EnvName: LLdV3, Steps: 203k, Episode Reward: 149
[2025-04-05 17:27:41,174][__main__][INFO] - EnvName: LLdV3, Steps: 204k, Episode Reward: 173
[2025-04-05 17:28:06,094][__main__][INFO] - EnvName: LLdV3, Steps: 205k, Episode Reward: 222
[2025-04-05 17:28:32,846][__main__][INFO] - EnvName: LLdV3, Steps: 206k, Episode Reward: 147
[2025-04-05 17:28:59,407][__main__][INFO] - EnvName: LLdV3, Steps: 207k, Episode Reward: 150
[2025-04-05 17:29:26,372][__main__][INFO] - EnvName: LLdV3, Steps: 208k, Episode Reward: 165
[2025-04-05 17:29:53,878][__main__][INFO] - EnvName: LLdV3, Steps: 209k, Episode Reward: 136
[2025-04-05 17:30:18,794][__main__][INFO] - EnvName: LLdV3, Steps: 210k, Episode Reward: 179
[2025-04-05 17:30:45,594][__main__][INFO] - EnvName: LLdV3, Steps: 211k, Episode Reward: 135
[2025-04-05 17:31:12,422][__main__][INFO] - EnvName: LLdV3, Steps: 212k, Episode Reward: 175
[2025-04-05 17:31:39,088][__main__][INFO] - EnvName: LLdV3, Steps: 213k, Episode Reward: 183
[2025-04-05 17:32:05,905][__main__][INFO] - EnvName: LLdV3, Steps: 214k, Episode Reward: 140
[2025-04-05 17:32:31,965][__main__][INFO] - EnvName: LLdV3, Steps: 215k, Episode Reward: 164
[2025-04-05 17:32:58,536][__main__][INFO] - EnvName: LLdV3, Steps: 216k, Episode Reward: 162
